time_step,source,target,exchange_type,magnitude,delay_months,uncertainty,is_loop,is_leak,branch_fraction,seasonality,notes
1,F1,F2,photosynthesis,0.8,0,0.15,0,0,0.35,spring-summer,Atmospheric carbon captured by young trees
1,F1,F3,photosynthesis,0.65,0,0.12,0,0,0.25,spring-summer,Atmospheric carbon captured by mature trees
1,F1,F4,photosynthesis,0.35,0,0.1,0,0,0.1,spring-summer,Lower rate but persistent capture by ancient trees
1,F2,F1,autotrophic_respiration,0.22,0,0.2,0,0,0.12,all-year,Young trees release CO2 via respiration including night-time exchange
1,F3,F1,autotrophic_respiration,0.28,0,0.18,0,0,0.14,all-year,Mature trees release CO2 through autotrophic respiration
1,F4,F1,autotrophic_respiration,0.16,0,0.2,0,0,0.08,all-year,Ancient trees return carbon through slow respiration
2,F2,F13,leaf_litter_drop,0.3,1,0.2,1,0,0.5,autumn,Young trees contribute litter to surface carbon cycle
2,F3,F13,leaf_litter_drop,0.55,1,0.18,1,0,0.8,autumn,Mature canopy contributes significant litter
2,F13,F8,litter_incorporation,0.5,2,0.22,1,0,0.7,autumn-winter,Litter becomes soil carbon
3,F8,F7,fungal_fuel,0.35,1,0.25,1,0,0.4,all-year,Soil carbon supports fungal activity
3,F7,F2,mycorrhizal_transfer,0.4,1,0.3,1,0,0.3,all-year,Mycorrhiza transfers carbon/nutrients to young trees
3,F7,F3,mycorrhizal_transfer,0.45,1,0.28,1,0,0.4,all-year,Mycorrhiza transfers carbon/nutrients to mature trees
4,F3,F9,root_exudates,0.28,2,0.3,1,0,0.25,all-year,Tree roots improve soil health
4,F9,F2,growth_support,0.32,1,0.2,1,0,0.2,spring-summer,Soil health supports growth
5,F5,F14,harvest_transfer,0.45,0,0.1,0,0,0.6,episodic,Harvest sends carbon into manufacturing chain
5,F5,F6,felling_to_deadwood,0.2,0,0.15,1,0,0.25,episodic,Not all felled wood leaves system
6,F6,F11,habitat_formation,0.5,1,0.18,1,0,0.45,all-year,Deadwood hosts decomposers
6,F11,F8,decomposition,0.42,2,0.25,1,0,0.5,all-year,Decomposition returns carbon to soil
7,F11,F12,food_web_transfer,0.3,1,0.25,1,0,0.25,spring-summer,Bird response to insect abundance
7,F12,F10,seed_dispersal,0.38,1,0.3,1,0,0.2,autumn,Birds redistribute understory vegetation
8,F10,F8,root_turnover,0.24,2,0.22,1,0,0.18,all-year,Plants return carbon to soil
8,F10,F1,understory_respiration,0.14,0,0.24,0,0,0.1,all-year,Understory vegetation contributes respiratory CO2 flux to atmosphere
9,F8,F15,runoff_loss,0.12,0,0.4,0,1,0.1,winter,Leak: dissolved carbon/nutrients leaving via runoff
10,F8,F1,respiration,0.18,0,0.2,0,1,0.15,all-year,Leak: soil respiration to atmosphere
12,F6,F10,nurse_log_regeneration,0.22,6,0.35,1,0,0.12,all-year,Deadwood creates conditions for new growth
18,F4,F7,long_memory_exchange,0.2,12,0.45,1,0,0.1,all-year,Ancient woodland stabilises fungal networks over long periods
